State,District,Representative
Alabama,01,Barry Moore (R)
Alabama,02,Shomari Figures (D)
Alabama,03,Mike Rogers (R)
Alabama,04,Robert Aderholt (R)
Alabama,05,Dale Strong (R)
Alabama,06,Gary Palmer (R)
Alabama,07,Terri Sewell (D)
Alaska,At Large,Nicholas Begich (R)
Arizona,01,David Schweikert (R)
Arizona,02,Eli Crane (R)
Arizona,03,Yassamin Ansari (D)
Arizona,04,Greg Stanton (D)
Arizona,05,Andy Biggs (R)
Arizona,06,Juan Ciscomani (R)
Arizona,07,VACANT
Arizona,08,Abraham Hamadeh (R)
Arizona,09,Paul Gosar (R)
Arkansas,01,Eric Crawford (R)
Arkansas,02,J. Hill (R)
Arkansas,03,Steve Womack (R)
Arkansas,04,Bruce Westerman (R)
California,01,Doug LaMalfa (R)
California,02,Jared Huffman (D)
California,03,Kevin Kiley (R)
California,04,Mike Thompson (D)
California,05,Tom McClintock (R)
California,06,Ami Bera (D)
California,07,Doris Matsui (D)
California,08,John Garamendi (D)
California,09,Josh Harder (D)
California,10,Mark DeSaulnier (D)
California,11,Nancy Pelosi (D)
California,12,Lateefah Simon (D)
California,13,Adam Gray (D)
California,14,Eric Swalwell (D)
California,15,Kevin Mullin (D)
California,16,Sam Liccardo (D)
California,17,Ro Khanna (D)
California,18,Zoe Lofgren (D)
California,19,Jimmy Panetta (D)
California,20,Vince Fong (R)
California,21,Jim Costa (D)
California,22,David Valadao (R)
California,23,Jay Obernolte (R)
California,24,Salud Carbajal (D)
California,25,Raul Ruiz (D)
California,26,Julia Brownley (D)
California,27,George Whitesides (D)
California,28,Judy Chu (D)
California,29,Luz Rivas (D)
California,30,Laura Friedman (D)
California,31,Gil Cisneros (D)
California,32,Brad Sherman (D)
California,33,Pete Aguilar (D)
California,34,Jimmy Gomez (D)
California,35,Norma Torres (D)
California,36,Ted Lieu (D)
California,37,Sydney Kamlager-Dove (D)
California,38,Linda Sanchez (D)
California,39,Mark Takano (D)
California,40,Young Kim (R)
California,41,Ken Calvert (R)
California,42,Robert Garcia (D)
California,43,Maxine Waters (D)
California,44,Nanette Barragan (D)
California,45,Derek Tran (D)
California,46,J. Correa (D)
California,47,Dave Min (D)
California,48,Darrell Issa (R)
California,49,Mike Levin (D)
California,50,Scott Peters (D)
California,51,Sara Jacobs (D)
California,52,Juan Vargas (D)
Colorado,01,Diana DeGette (D)
Colorado,02,Joe Neguse (D)
Colorado,03,Jeff Hurd (R)
Colorado,04,Lauren Boebert (R)
Colorado,05,Jeff Crank (R)
Colorado,06,Jason Crow (D)
Colorado,07,Brittany Pettersen (D)
Colorado,08,Gabe Evans (R)
Connecticut,01,John Larson (D)
Connecticut,02,Joe Courtney (D)
Connecticut,03,Rosa DeLauro (D)
Connecticut,04,James Himes (D)
Connecticut,05,Jahana Hayes (D)
Delaware,At Large,Sarah McBride (D)
Florida,01,Jimmy Patronis (R)
Florida,02,Neal Dunn (R)
Florida,03,Kat Cammack (R)
Florida,04,Aaron Bean (R)
Florida,05,John Rutherford (R)
Florida,06,Randy Fine (R)
Florida,07,Cory Mills (R)
Florida,08,Mike Haridopolos (R)
Florida,09,Darren Soto (D)
Florida,10,Maxwell Frost (D)
Florida,11,Daniel Webster (R)
Florida,12,Gus Bilirakis (R)
Florida,13,Anna Paulina Luna (R)
Florida,14,Kathy Castor (D)
Florida,15,Laurel Lee (R)
Florida,16,Vern Buchanan (R)
Florida,17,W. Steube (R)
Florida,18,Scott Franklin (R)
Florida,19,Byron Donalds (R)
Florida,20,Sheila Cherfilus-McCormick (D)
Florida,21,Brian Mast (R)
Florida,22,Lois Frankel (D)
Florida,23,Jared Moskowitz (D)
Florida,24,Frederica Wilson (D)
Florida,25,Debbie Wasserman Schultz (D)
Florida,26,Mario Diaz-Balart (R)
Florida,27,Maria Salazar (R)
Florida,28,Carlos Gimenez (R)
Georgia,01,Earl Carter (R)
Georgia,02,Sanford Bishop (D)
Georgia,03,Brian Jack (R)
Georgia,04,Henry Johnson (D)
Georgia,05,Nikema Williams (D)
Georgia,06,Lucy McBath (D)
Georgia,07,Richard McCormick (R)
Georgia,08,Austin Scott (R)
Georgia,09,Andrew Clyde (R)
Georgia,10,Mike Collins (R)
Georgia,11,Barry Loudermilk (R)
Georgia,12,Rick Allen (R)
Georgia,13,David Scott (D)
Georgia,14,Marjorie Taylor Greene (R)
Hawaii,01,Ed Case (D)
Hawaii,02,Jill Tokuda (D)
Idaho,01,Russ Fulcher (R)
Idaho,02,Michael Simpson (R)
Illinois,01,Jonathan Jackson (D)
Illinois,02,Robin Kelly (D)
Illinois,03,Delia Ramirez (D)
Illinois,04,Jesus Garcia (D)
Illinois,05,Mike Quigley (D)
Illinois,06,Sean Casten (D)
Illinois,07,Danny Davis (D)
Illinois,08,Raja Krishnamoorthi (D)
Illinois,09,Jan Schakowsky (D)
Illinois,10,Bradley Schneider (D)
Illinois,11,Bill Foster (D)
Illinois,12,Mike Bost (R)
Illinois,13,Nikki Budzinski (D)
Illinois,14,Lauren Underwood (D)
Illinois,15,Mary Miller (R)
Illinois,16,Darin LaHood (R)
Illinois,17,Eric Sorensen (D)
Indiana,01,Frank Mrvan (D)
Indiana,02,Rudy Yakym (R)
Indiana,03,Marlin Stutzman (R)
