Section,Institution,Type,Address,City,State,Zip,Latitude,Longitude,Enrollment,Campus Size,Suitability,Notes
Within,Northern Arizona University,4-Year University,"1200 S Beaver St, Flagstaff AZ 86011",Flagstaff,AZ,86011,35.186246,-111.653904,"28,194",883,,"829-acre forested campus at 6,950 ft elevation with Palm Walk and multiple quads"
Within,Coconino Community College - Lone Tree Campus,Community College,"2800 S Lone Tree Rd, Flagstaff AZ 86005",Flagstaff,AZ,86005,35.16951,-111.647755,"3,289",5,,Main campus with student gathering areas and athletic facilities
Within,Coconino Community College - Fourth Street Campus,Community College,"3000 N Fourth St, Flagstaff AZ 86004",Flagstaff,AZ,86004,35.217614,-111.613357,"1,500",3,,Secondary campus with student facilities and walkable areas
Within,Embry-Riddle Aeronautical University - Prescott,4-Year University,"3700 Willow Creek Rd, Prescott AZ 86301",Prescott,AZ,86301,34.612578,-112.453264,"3,250",850,,539-acre campus with residential complexes and central walkable areas
Within,Prescott College,4-Year College,"220 Grove Ave, Prescott AZ 86301",Prescott,AZ,86301,34.544809,-112.476483,800,13,,Downtown campus with Village housing and Student Activity Center
Within,Yavapai College - Prescott Campus,Community College,"1100 E Sheldon St, Prescott AZ 86301",Prescott,AZ,86301,34.545482,-112.455544,"8,000",20,,Main campus with residence halls and performing arts center
Within,Yavapai College - Verde Valley Campus,Community College,"601 Black Hills Dr, Clarkdale AZ 86324",Clarkdale,AZ,86324,34.738673,-112.054944,"2,500",42,,"Campus with library, art gallery, and teaching winery with walkable grounds"
Within,Yavapai College - Sedona Center,Community College,"4215 Arts Village Dr, Sedona AZ 86336",Sedona,AZ,86336,34.850512,-111.830287,"1,200",20,,Stunning red rock setting with culinary arts program and learning areas
Within,Northland Pioneer College - Holbrook Campus,Community College,"2251 E Navajo Blvd, Holbrook A 86025",Holbrook,AZ,86025,34.927544,-110.142292,"2,700",11,,Main administrative campus with Skills Center and student areas
Within,Northland Pioneer College - Show Low Campus,Community College,"1001 W Deuce of Clubs, Show Low AZ 85901",Show Low,AZ,85901,34.243705,-110.053531,"1,800",3,,Largest NPC campus with Small Business Development Center and art gallery
Within,Northland Pioneer College - Snowflake Campus,Community College,"1611 S Main St, Snowflake AZ 85937",Snowflake,AZ,85937,34.487854,-110.081433,"1,200",130,,Silver Creek campus with student services and gathering areas
Within,Northland Pioneer College - Winslow Campus,Community College,"1400 E Third St, Winslow AZ 86047",Winslow,AZ,86047,35.021105,-110.682261,800,10,,Little Colorado campus with student facilities and outdoor areas
Within,Dine College - Tsaile Campus,4-Year Tribal College,"1 Circle Dr, Tsaile AZ 86556",Tsaile,AZ,86556,36.3033,-109.21566,825,50,,Main campus with octagonal dormitories and traditional hogan-style design
Within,Coconino Community College - Page Campus,Community College,"475 S Lake Powell Blvd, Page AZ 86040",Page,AZ,86040,36.909536,-111.461669,400,10,,Satellite campus with student services and Lake Powell area setting
Near,Arizona State University - West Campus,4-Year University,"4701 W Thunderbird Rd, Glendale AZ 85306",Glendale,AZ,85306,33.607044,-112.163878,"6,000",277,,277-acre suburban campus with outdoor learning labs and walkable areas
Near,Glendale Community College,Community College,"6000 W Olive Ave, Glendale AZ 85302",Glendale,AZ,85302,33.568837,-112.190886,"18,000",100,,Large campus with student center and multiple walkable areas
Near,Paradise Valley Community College,Community College,"18401 N 32nd St, Phoenix AZ 85032",Phoenix,AZ,85032,33.653016,-112.010722,"8,500",104,,Beautiful desert campus with student commons and outdoor spaces
Near,Central Arizona College -Superstition Mountain Campus,Community College,"805 S Idaho Rd, Apache Junction, AZ 85119",Apache Junction,AZ,85119,33.409095,-111.54315,"2,000",10,,Satellite campus with student facilities and desert mountain setting
