Section,Institution,Type,Address,City,State,Zip,Latitude,Longitude,Enrollment,Campus Size,Suitability,Notes
Within,"University of California, Irvine",4-Year University,"4100 - 4255 Campus Dr, Irvine, CA 92612",Irvine,CA,92697,33.649518,-117.83904,"36,000",1475,,Large campus centered around 19-acre Aldrich Park with Ring Road walkway
Within,Orange Coast College,Community College,"2701 Fairview Rd, Costa Mesa CA 92626",Costa Mesa,CA,92626,33.669738,-117.907979,"24,000",164,,164-acre campus with central park areas and student housing
Within,Golden West College,Community College,"15744 Goldenwest St, Huntington Beach CA 92647",Huntington Beach,CA,92647,33.734309,-118.006657,"14,000",122,,Beautiful 122-acre campus with central quad areas
Near,Chapman University,4-Year University,"1 University Dr, Orange CA 92866",Orange,CA,92866,33.793419,-117.852466,"10,000",90,,Traditional campus with central gathering areas
Near,Santiago Canyon College,Community College,"8045 E Chapman Ave, Orange CA 92869",Orange,CA,92869,33.794291,-117.767661,"13,000",82,,Beautiful campus with walkable areas and student gathering spaces
Near,Santa Ana College,Community College,"1530 W 17th St, Santa Ana CA 92706",Santa Ana,CA,92706,33.759856,-117.888713,"28,000",48,,48-acre campus with walkable areas and student facilities
Near,"California State University, Fullerton",4-Year University,"800 N State College Blvd, Fullerton CA 92831",Fullerton,CA,92831,33.879606,-117.885421,"36,943",236,,Large 236-acre campus with central quad areas
Near,Fullerton College,Community College,"321 E Chapman Ave, Fullerton CA 92832",Fullerton,CA,92832,33.874456,-117.915749,"20,000",83,,Historic campus with central gathering areas
Near,"California State University, Long Beach",4-Year University,"1250 Bellflower Blvd, Long Beach CA 90840",Long Beach,CA,90840,33.784294,-118.120983,"37,000",322,,Large urban campus with multiple quad areas
Near,Cerritos College,Community College,"11110 Alondra Blvd, Norwalk CA 90650",Norwalk,CA,90650,33.885191,-118.09785,"22,000",135,,Administrative quad area with walkable spaces
Near,Saddleback College,Community College,"28000 Marguerite Pkwy, Mission Viejo CA 92692",Mission Viejo,CA,92692,33.548132,-117.663333,"25,000",200,,Upper Campus Quad and Gateway Building area
