Section,Institution,Type,Address,City,State,Zip,Latitude,Longitude,Enrollment,Campus Size,Suitability,Notes
Within,Western Connecticut State University,4-Year University,"181 White Street, Danbury CT 06810",Danbury,CT,06810,41.399566,-73.445083,3799,398,,"Two campuses: 34-acre Midtown with Alumni Quad, 364-acre Westside with multiple gathering areas"
Within,Central Connecticut State University,4-Year University,"1615 Stanley Street, New Britain CT 06050",New Britain,CT,06050,41.690278,-72.769896,8898,165,,Connecticut's oldest public university with central campus quad and multiple outdoor gathering spaces
Within,CT State Naugatuck Valley - Waterbury Campus,Community College,"750 Chase Parkway, Waterbury CT 06708",Waterbury,CT,06708,41.550055,-73.072686,6000,110,,"110-acre campus with Tamarack Arboretum, gardens, hiking trail, scenic pond, extensive grounds"
Within,CT State Tunxis,Community College,"271 Scott Swamp Road, Farmington CT 06032",Farmington,CT,06032,41.70547,-72.87941,3365,12,,"State-of-the-art campus with 2008 expansion, outdoor study areas overlooking campus, multiple gathering spaces"
Near,Trinity College,4-Year Liberal Arts College,"300 Summit Street, Hartford CT 06106",Hartford,CT,06106,41.745133,-72.690497,2235,100,,"Historic Main Quad designed by Frederick Law Olmsted, large rectangular green with Long Walk"
Near,University of Hartford,4-Year University,"200 Bloomfield Avenue, West Hartford CT 06117",West Hartford,CT,06117,41.795856,-72.716847,4500,350,,"Academic quad with Hursey Center, Gray Center Quad, multiple outdoor gathering spaces"
Near,CT State Middlesex,Community College,"100 Training Hill Road, Middletown CT 06457",Middletown,CT,06457,41.538193,-72.611189,2106,38,,"38-acre campus overlooking Connecticut River valley, Pavilion, deck, solar patio gathering areas"
Near,Wesleyan University,4-Year University,"237 High Street, Middletown CT 06459",Middletown,CT,06459,41.55655,-72.655046,2900,316,,"Elite liberal arts university with Andrus Field and multiple campus quads, extensive green spaces"
Near,Southern Connecticut State University,4-Year University,"501 Crescent Street, New Haven CT 06515",New Haven,CT,06515,41.330154,-72.944381,8300,172,,"Academic Quad surrounded by Buley Library, Engleman Hall, Earl Hall, perfect for campus events"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
