Section,Institution,Type,Address,City,State,Zip,Latitude,Longitude,Enrollment,Campus Size,Suitability,Notes
Within,Florida Atlantic University,4-Year University,"777 Glades Road, Boca Raton FL 33431",Boca Raton,FL,33431,26.369433,-80.102287,29000,850,,"850-acre main campus near Atlantic Ocean; suite-style housing for 4,500+ students; tropical setting"
Within,Lynn University,4-Year University,"3601 N Military Trail, Boca Raton FL 33431",Boca Raton,FL,33431,26.384599,-80.125533,2824,115,,115-acre lush tropical campus; Christine's Park with amphitheater; University Center with outdoor patios
Within,Broward College - Central Campus,Community College,"3501 SW Davie Road, Davie FL 33314",Davie,FL,33314,26.079796,-80.233549,22000,150,,Main campus with Buehler Planetarium; outdoor graduation lawn; multiple campus gathering areas
Near,Nova Southeastern University,4-Year University,"3301 College Avenue, Davie FL 33314",Davie,FL,33314,26.078805,-80.240139,25000,314,,314-acre flagship campus; resort-like qualities; Don Taft University Center; outdoor pool areas
Near,Florida International University,4-Year University,"11200 SW 8th Street, Miami FL 33199",Miami,FL,33199,25.760539,-80.376327,53953,342,,Large flagship campus with multiple quads and outdoor gathering areas throughout campus
Near,University of Miami,4-Year University,"1320 South Dixie Highway, Coral Gables FL 33146",Coral Gables,FL,33146,25.713468,-80.277246,17000,230,,Beautiful 230-acre campus with historic architecture; multiple courtyards and outdoor spaces
Near,Broward College - South Campus,Community College,"7200 Pines Boulevard, Pembroke Pines FL 33024",Pembroke Pines,FL,33024,26.007371,-80.234286,15000,30,,Aviation Institute campus; regional library; outdoor gathering areas and student commons
Near,Broward College - North Campus,Community College,"1000 Coconut Creek Boulevard, Coconut Creek FL 33066",Coconut Creek,FL,33066,26.240119,-80.175255,8500,11,,Health science programs; Citrix IT Academy; Junior Achievement Enterprise Village
Near,Palm Beach State College,Community College,"4200 Congress Avenue, Lake Worth FL 33461",Lake Worth,FL,33461,26.613621,-80.086833,28000,114,,Multiple campus locations; main campus with student gathering areas and outdoor spaces
Near,Florida Atlantic University - Jupiter Campus,4-Year University Branch,"5353 Parkside Drive, Jupiter FL 33458",Jupiter,FL,33458,26.883898,-80.116751,1500,24,,John D. MacArthur Campus; research partnerships with Max Planck and Scripps Research
