Section,Institution,Type,Address,City,State,Zip,Latitude,Longitude,Enrollment,Campus Size,Suitability,Notes
Within,East Carolina University,Public University,"East Fifth Street, Greenville, NC 27858",Greenville,NC,27858,35.607581,-77.362233,21328,1600,,Large public research university with extensive campus facilities
Within,Elizabeth City State University,Public University,"1704 Weeksville Road, Elizabeth City, NC 27909",Elizabeth City,NC,27909,36.279389,-76.215758,2047,200,,HBCU with strong community presence and campus quad areas
Within,College of The Albemarle,Community College,"1208 North Road Street, Elizabeth City, NC 27909",Elizabeth City,NC,27909,36.324958,-76.220322,2508,75,,First community college in NC system with multiple campuses
Within,Pitt Community College,Community College,"1986 Pitt Tech Road, Winterville, NC 28590",Winterville,NC,28590,35.550984,-77.408002,7688,294,,Large community college serving Pitt County with multiple buildings
Within,Nash Community College,Community College,"522 N. Old Carriage Road, Rocky Mount, NC 27804",Rocky Mount,NC,27804,35.976412,-77.899891,3574,125,,Mid-sized community college between Nashville and Rocky Mount
Within,Vance-Granville Community College,Community College,"200 Community College Road, Henderson, NC 27537",Henderson,NC,27537,36.32249,-78.487429,2883,83,,Main campus serving four counties with multiple satellite locations
Within,Wilson Community College,Community College,"902 Herring Avenue, Wilson, NC 27893",Wilson,NC,27893,35.733634,-77.890999,2701,156,,Community college with modern facilities and open spaces
Within,Wayne Community College,Community College,"3000 Wayne Memorial Drive, Goldsboro, NC 27534",Goldsboro,NC,27534,35.402989,-77.94584,2883,156,,Well-established community college with extensive campus
Within,Halifax Community College,Community College,"100 College Drive, Weldon, NC 27890",Weldon,NC,27890,36.427013,-77.615055,1700,69,,Small community college near Virginia border
Within,Edgecombe Community College,Community College,"2009 W. Wilson Street, Tarboro, NC 27886",Tarboro,NC,27886,35.879087,-77.572197,1459,120,,Community college with campuses in Tarboro and Rocky Mount
Within,Roanoke-Chowan Community College,Community College,"109 Community College Road, Ahoskie, NC 27910",Ahoskie,NC,27910,36.324882,-77.023699,1200,75,,Small community college serving northeastern NC
