Section,Institution,Type,Address,City,State,Zip,Latitude,Longitude,Enrollment,Campus Size,Suitability,Notes
Within,Texas A&M International University,Public University,5201 University Boulevard Laredo TX 78041,Laredo,TX,78041,27.5749,-99.435188,8500,300,,Main campus with quad areas and student gathering spaces
Within,Laredo College,Community College,1 West End Washington Street Laredo TX 78040,Laredo,TX,78040,27.507073,-99.519414,9292,200,,Multiple campuses with open areas for student activities
Within,South Texas College - Starr County Campus,Community College,142 FM 3167 Rio Grande City TX 78582,Rio Grande City,TX,78582,26.385979,-98.856692,26000,100,,Regional campus serving Starr County with modern facilities
Within,San Antonio College,Community College,1819 N Main Avenue San Antonio TX 78212,San Antonio,TX,78212,29.44662,-98.496408,20000,37,,Urban campus with university-like feel and gathering spaces
Within,Northeast Lakeview College,Community College,1201 Kitty Hawk Road Universal City TX 78148,Universal City,TX,78148,29.546271,-98.323252,14000,267,,Main campus serving northeast San Antonio area
Within,Northeast Lakeview College - New Braunfels,Community College,2193 FM 758 New Braunfels TX 78130,New Braunfels,TX,78130,29.6958,-98.039278,2000,50,,Extension site with modern facilities
Near,Texas State University,Public University,601 University Drive San Marcos TX 78666,San Marcos,TX,78666,29.888773,-97.937444,40000,492,,Large campus 15 miles from district with extensive quad areas
Near,University of Texas at San Antonio,Public University,1 UTSA Circle San Antonio TX 78249,San Antonio,TX,78249,29.584406,-98.617622,32000,725,,Major research university with multiple gathering spaces
Near,St. Philip's College,Community College,1801 Martin Luther King Drive San Antonio TX 78203,San Antonio,TX,78203,29.414109,-98.45412,13000,106,,Historic HBCU campus with open areas for events
Near,Palo Alto College,Community College,1400 W Villaret Boulevard San Antonio TX 78224,San Antonio,TX,78224,29.322987,-98.546486,10000,120,,Modern campus with outdoor gathering spaces
Near,Northwest Vista College,Community College,3535 N Ellison Drive San Antonio TX 78251,San Antonio,TX,78251,29.470893,-98.707465,17000,140,,Newer campus with modern facilities and open areas
Near,Texas A&M University-Corpus Christi,Public University,6300 Ocean Drive Corpus Christi TX 78412,Corpus Christi,TX,78412,27.719048,-97.334592,11000,364,,Island campus with extensive outdoor spaces
Near,Del Mar College,Community College,101 Baldwin Boulevard Corpus Christi TX 78404,Corpus Christi,TX,78404,27.767104,-97.407215,12000,150,,Multiple campuses with gathering areas
Near,Texas A&M University-San Antonio,Public University,One University Way San Antonio TX 78224,San Antonio,TX,78224,29.303349,-98.524607,7000,694,,Growing campus with modern facilities
Near,Southwest Texas Junior College - Eagle Pass,Community College,2501 Sul Ross Boulevard Eagle Pass TX 78852,Eagle Pass,TX,78852,28.781057,-100.31277,1500,50,,Regional campus serving border area
Near,Coastal Bend College - Kingsville,Community College,1814 Brahma Boulevard Kingsville TX 78363,Kingsville,TX,78363,27.499552,-97.855858,4000,60,,Regional campus with outdoor areas
Near,Texas A&M University-Kingsville,Public University,700 University Boulevard Kingsville TX 78363,Kingsville,TX,78363,27.522557,-97.882339,9000,250,,Full university campus with extensive quad areas
